B,C,trial,stability_min_eig
5,21,4,-1.621340317979623e-15
5,22,0,-2.7983039564104835e-15
5,22,1,-3.1053673856938843e-15
5,22,2,-3.062458422108299e-15
5,22,3,-1.595182489292919e-15
5,22,4,-0.03410048090131285
5,23,0,-2.9061869819364095e-15
5,23,1,-2.0358577369923963e-15
5,23,2,-0.05371332400588081
5,23,3,-0.04922710569182567
5,23,4,-1.9934679314978496e-15
6,4,0,-1.0184016469494774
6,4,1,-0.866118871606302
6,4,2,-0.741765379963026
6,4,3,-0.705922653024272
6,4,4,-1.0225543507351984
6,5,0,-0.6953204087073651
6,5,1,-0.6713522951318143
6,5,2,-0.7272055731492282
6,5,3,-0.5829942556243392
6,5,4,-0.6605568392990698
6,6,0,-0.5101583325214717
6,6,1,-0.7367160140863891
6,6,2,-0.6882255358568927
6,6,3,-0.8431182079076941
6,6,4,-0.6598618881618978
6,7,0,-0.4284960925802184
6,7,1,-0.679308091978268
6,7,2,-0.6654230702813865
6,7,3,-0.6414370861504435
6,7,4,-0.5325693378129218
6,8,0,-0.5625045785835915
6,8,1,-0.6918773227167848
6,8,2,-0.8196184627493518
6,8,3,-0.624449430647204
6,8,4,-0.5084867420511648
6,9,0,-0.5904831030579457
6,9,1,-0.627152737066755
6,9,2,-0.7104249208797612
6,9,3,-0.4874429973753534
6,9,4,-0.5497583920625057
6,10,0,-0.41654306739460545
6,10,1,-0.5428114250556053
6,10,2,-0.6027130666584694
6,10,3,-0.8670822119962008
6,10,4,-0.879481789075809
6,11,0,-0.4607293034123867
6,11,1,-0.5621472857487022
6,11,2,-0.5629160778593846
6,11,3,-0.6918132398451033
6,11,4,-0.4131844680216613
6,12,0,-0.3984237370338331
6,12,1,-0.4766315429468618
6,12,2,-0.42097580218050384
6,12,3,-0.4720793220285292
6,12,4,-0.4209162539948079
6,13,0,-0.2555866460680257
6,13,1,-0.371925104612522
6,13,2,-0.5212082862291318
6,13,3,-0.6199201192374378
6,13,4,-0.5532364804862827
6,14,0,-0.42765285042326706
6,14,1,-0.296180168213931
6,14,2,-0.2827072135978092
6,14,3,-0.5412791309697224
6,14,4,-0.6072219332338906
6,15,0,-0.06823557916591477
6,15,1,-0.29629390089708474
6,15,2,-0.22911568161752036
6,15,3,-0.4100306839211244
6,15,4,-0.523809607273677
6,16,0,-0.07564533825723893
6,16,1,-0.45772608853679186
6,16,2,-0.20186806024542467
6,16,3,-0.3302361812357681
6,16,4,-0.24631443872228148
6,17,0,-2.275648651446681e-15
6,17,1,-0.1401492669931705
6,17,2,-0.6627821331347523
6,17,3,-0.16503345128229066
6,17,4,-0.15589700094763997
6,18,0,-0.32487453758247437
6,18,1,-0.06063145121923126
6,18,2,-2.7997545670699136e-15
6,18,3,-8.475607603469059e-16
6,18,4,-0.19534138666854417
6,19,0,-0.10378811675225602
6,19,1,-1.1958429166197535e-15
6,19,2,-0.21442934005789582
6,19,3,-0.29481189821953524
6,19,4,-1.7692059103312196e-15
6,20,0,-2.1818695429325685e-15
6,20,1,-0.5772299015516981
6,20,2,-0.22238566008363628
6,20,3,-0.013404015484176296
6,20,4,-2.5652349639816602e-15
6,21,0,-0.07224641825205123
6,21,1,-2.412266345136367e-15
6,21,2,-2.21352339521269e-15
6,21,3,-0.14075674404563746
6,21,4,-1.785324841620431e-15
6,22,0,-0.20711124460513736
6,22,1,-3.639552718406953e-15
6,22,2,-3.4060348877069334e-15
6,22,3,-1.1437607507308202e-15
6,22,4,-1.5639129291979405e-15
7,4,0,-0.7268425096311647
7,4,1,-0.9259770919610901
7,4,2,-0.8763804770345859
7,4,3,-0.7759415341826577
